"id" "city" "longitude" "latitude" "temperature" "pressure" "humidity" "windspeed" "winddirection" "description"
5392528 "San Pedro" -118.29229 33.735851 21.18 1014 43 5.7 260 "Sky is Clear"
3988392 "Rosarito" -117.033333 32.333328 18.7 1015 63 6.7 300 "Sky is Clear"
5376890 "Newport Beach" -117.928947 33.618912 21.98 1014 40 2.1 0 "Sky is Clear"
5392900 "Santa Ana" -117.867828 33.745571 21.91 1014 40 2.1 0 "Sky is Clear"
5359777 "Irvine" -117.823112 33.66946 21.8 1014 40 2.1 0 "Sky is Clear"
5391791 "San Clemente" -117.611992 33.426971 21.67 1014 35 6.2 270 "Sky is Clear"
5364514 "Lake Forest" -117.689217 33.646969 21.87 1014 40 2.1 0 "Sky is Clear"
5373763 "Mission Viejo" -117.671997 33.600021 21.77 1014 40 2.1 0 "Sky is Clear"
5363943 "La Jolla" -117.2742 32.847271 19.15 1015 52 4.6 290 "scattered clouds"
5346646 "Encinitas" -117.291977 33.036991 19.32 1015 63 7.2 300 "Sky is Clear"
5391811 "San Diego" -117.157257 32.715328 19.06 1015 60 5.1 290 "scattered clouds"
3981609 "Tijuana" -117.01667 32.533329 19.26 1015 63 6.7 300 "Sky is Clear"
5345529 "El Cajon" -116.962532 32.794769 19.14 1015 43 4.02 283.5 "Sky is Clear"
5384690 "Poway" -117.035858 32.962818 19.09 1015 52 4.6 290 "scattered clouds"
5385793 "Ramona" -116.86808 33.04171 19.05 1015 52 4.6 290 "scattered clouds"
5378771 "Oceanside" -117.379478 33.195869 19.59 1015 52 4.1 270 "Sky is Clear"
5347578 "Fallbrook" -117.251152 33.376419 19.62 1014 35 6.2 270 "Sky is Clear"
5346827 "Escondido" -117.086418 33.119209 19.27 1015 63 7.2 300 "Sky is Clear"
5375911 "Murrieta" -117.213921 33.553909 21.25 1014 35 6.2 270 "Sky is Clear"
5401395 "Temecula" -117.148361 33.493641 20.67 1014 35 6.2 270 "Sky is Clear"
5372205 "Menifee" -117.146423 33.728352 20.58 1014 33 6.7 310 "Sky is Clear"
5356277 "Hemet" -116.97197 33.74752 20.95 1014 33 6.7 310 "Sky is Clear"
3982266 "Tecate" -116.633331 32.566669 19.05 1015 63 5.1 280 "Sky is Clear"
5359446 "Indio" -116.215561 33.720581 22.72 1008 6 4.1 330 "Sky is Clear"
5397018 "Soledad" -121.326317 36.42469 17.35 1021 55 6.7 260 "Sky is Clear"
5391959 "San Francisco" -122.419418 37.774929 17.07 1022 59 11.8 270 "scattered clouds"
5404476 "Ukiah" -123.207779 39.150169 17 1022 55 6.7 330 "Sky is Clear"
5393287 "Santa Rosa" -122.714432 38.440472 17.49 1020 63 5.7 260 "broken clouds"
